"4817","Yesterday Last Year","2015","N/A","N/A","N/A","Sci-Fi","Jeffrey Hanley","Adam Bradley","Adam Bradley, Scott Walker, Amelia Mathews","Michael is married to Sandra. He and his friend James have been working on a time machine in Michael's garage for the past two years. Michael doesn't know that seven years ago Sandra and ...","English","Canada","N/A","N/A","N/A","N/A","N/A","tt3780588","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4818","I'm a Patriot","2016","N/A","N/A","81 min","Comedy, Drama, Family","Jordan Marvin","Jordan Marvin","Christopher Magee, Michael Magee","Everybody needs a bad example.","English","USA","N/A","N/A","N/A","N/A","N/A","tt5427054","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4819","Ada Apa Dengan Cinta 2","2016","N/A","28 Apr 2016","123 min","Comedy, Drama, Romance","Riri Riza","Mira Lesmana, Prima Rusdi","Nicholas Saputra, Dian Sastrowardoyo, Titi Kamal, Adinia Wirasti","14 years after their budding romance in high-school, Rangga and Cinta reunite in Yogyakarta to have their closure after Rangga had left Cinta with no explanation years prior.","Indonesian, English","Indonesia","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMDI4ZTcwZTMtNDJiMi00YjQ5LWI4NWEtMGJjNjY4MWY1MWUzXkEyXkFqcGdeQXVyMjU5MTg2MzE@._V1_SX300.jpg","N/A","7.6","802","tt5687416","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56","3.5","37","http://www.rottentomatoes.com/m/ada_apa_dengan_cinta_2/","N/A","N/A","N/A","N/A","True"
"4820","Flor de Azúcar","2016","N/A","28 Jul 2016","110 min","Adventure, Drama, History","Fernando Baez Mella","Juan Bosch (original work), Fernando Baez Mella","Héctor Aníbal, Vladimir Acevedo, Natasha Alburquerque, Christian Alvarez","A young peasant is forced to flee for killing involuntarily an abusive guard. After an entire year hiding in a remote fishing island, he decides to return to his countryside and reunite with his wife and daughters.","Spanish","Dominican Republic","N/A","N/A","N/A","4.6","12","tt5468020","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4821","Dishonoured","2016","N/A","04 Feb 2016","N/A","Action","Steph Genovese, Lewis Pavlovic","Stephan Genovese","Stephan Genovese, Marcus Boland, Michael Hargreaves, Danny Brice","5 years after being dishonourably discharged from the Service for disobeying a direct order from Downing Street, John Venonesser has gone from a hero to a broken man. Living the life of recluse is about to change.","English","UK","N/A","N/A","N/A","N/A","N/A","tt4523218","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4822","Darker Than Night","2016","N/A","N/A","N/A","Sci-Fi","Tommy G. Warren","Tim T. Cunningham, Ben Snyder, Tommy G. Warren","N/A","Miners enter the re-opened 'IdaBelle' silver mine from the 1940's and find much more than they expected. Sealed in by faulty explosives and the fight to survive prehistoric creatures these souls work tirelessly trying to find a way out.","English","USA","4 wins.","http://ia.media-imdb.com/images/M/MV5BMjA3NjQ2Njg3NF5BMl5BanBnXkFtZTgwNzI2ODU1MDE@._V1_SX300.jpg","N/A","N/A","N/A","tt3158628","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4823","Poveda","2016","NOT RATED","01 Jul 2016","116 min","Biography, Drama, History","Pablo Moreno","Pedro Delgado, Pedro Delgado, Pablo Moreno, Pablo Moreno","Alejandro Arroyo, Miguel Berlanga, Natalia Bilbao, Fran Calvo","The film tells the story of Pedro Poveda (Raúl Escudero), a tenacious and innovative priest who opens paths in the field of education and in the defense of the rights of women in early ...","Spanish, Spanish","Spain","2 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BNWEwYTA0MjEtNDgzNy00YTY0LTliYTgtN2Y3MzczMDJiYjA2XkEyXkFqcGdeQXVyNTMxMzk3ODA@._V1_SX300.jpg","N/A","6.2","35","tt4626160","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4824","Triple Feature","2016","N/A","N/A","62 min","Comedy, Crime, Drama","Jørgen Pedersen","Jørgen Pedersen","Maggie Wininger, Jeffrey M. Wright, Gabriel Beckerle, Sophia Brown","What if the three biggest superheroes never appeared in comic books and instead were first seen in the films of the 1940s? Triple Feature is a love letter not only to WWII-era movies but to...","English","USA","N/A","N/A","N/A","N/A","N/A","tt5807366","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4825","Broadcast","2016","N/A","04 Jun 2016","80 min","Comedy","Mickey Reece","Mickey Reece","Michaelene Stephenson, Julien Cash Reece, Cate Jones, Philip Paz","A young Mother and her son establish a rudimentary news team, interviewing friends and family members in a small town.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BYWU2MzhiOGEtNjQzNS00NmY1LTg3OWItZGY0OTczZmU2NTFiXkEyXkFqcGdeQXVyMjMxOTQ0NjY@._V1_SX300.jpg","N/A","N/A","N/A","tt5678758","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4826","Park Hours","2016","N/A","N/A","N/A","Documentary, Fantasy, Music","Manley","James DeVine, Manley","James DeVine, Manley, Lisa McCabe","PARK HOURS is a coming-of-age story and 50 is the new 17. We follow Mark and Jim as they attempt to make sense out of life and death, love, career, and parenthood. They examine what it ...","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BZjk5ZmJkMjAtMTBhMi00ODY4LTkyNDYtOTc2ODAxMzhiZGY0XkEyXkFqcGdeQXVyNjI5MTkyMzQ@._V1_SX300.jpg","N/A","N/A","N/A","tt5367594","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4827","Ceberrut","2016","N/A","04 Mar 2016","N/A","Horror","Özgür Yelence","Isik Yelence, Özgür Yelence","Merve Akaydin, Sinan Bengier, Tolga Demircan, Rasit Görgülü","N/A","Turkish","Turkey","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNWZlOWI5OTQtYzdhNC00ZjIzLWFiMmEtYmI0NWNmY2E3OGM5XkEyXkFqcGdeQXVyMjQzMDU1Njc@._V1_SX300.jpg","N/A","3.2","41","tt5505264","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4828","Attack of the Killer Donuts","2016","N/A","N/A","98 min","Horror","Scott Wheeler","Nathan Dalton, Chris De Christopher, Rafael Diaz-Wagner","Fredrick Burns, Kayla Compton, Lauren Compton, Chris De Christopher","A chemical accident turns ordinary donuts into blood thirsty killers. Now it's up to Johnny, Michelle and Howard to save their sleepy town from...Killer Donuts.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNDU1ZDAzNWYtNWU4OS00MWVkLWFhNmQtY2VkOGFkMjFhN2ZkXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg","N/A","6.7","7","tt4480398","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","http://www.rottentomatoes.com/m/attack_of_the_killer_donuts","N/A","N/A","N/A","N/A","True"
"4829","Yoga Hosers","2016","PG-13","02 Sep 2016","88 min","Comedy, Fantasy, Horror","Kevin Smith","Kevin Smith","Lily-Rose Depp, Harley Quinn Smith, Adam Brody, Harley Morenstein","Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.","English, French, German","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0MjUzMDc3Ml5BMl5BanBnXkFtZTgwNjg5NjYwOTE@._V1_SX300.jpg","23","4.4","5,700","tt3838992","movie","20","rotten","3.3","51","10","41","Undisciplined, unfunny, and bereft of evident purpose, Yoga Hosers represents a particularly grating low point in Kevin Smith's once-promising career.","40","2.9","3911","http://www.rottentomatoes.com/m/yoga_hosers/","22 Nov 2016","N/A","Invincible Pictures","N/A","True"
"4830","Accidentally Engaged","2016","N/A","05 Mar 2016","86 min","Romance","Letia Clouston","Jake Helgren (screenplay), Elizabeth Snoderly (story)","Lexi Giovagnoli, Brant Daugherty, Lexi Atkins, Randy Wayne","When unsuccessful actress Clarissa returns to her hometown for a wedding and tries to impress her old friends by claiming she's dating big time celebrity Chas Hunter, she suddenly finds ...","N/A","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNTMzM2QwN2EtZWViNy00NGIwLWI0OWYtZGNkMWUyNzVhNzJiXkEyXkFqcGdeQXVyMjc2MDE1MzQ@._V1_SX300.jpg","N/A","6.1","454","tt4742556","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29","2.8","50","http://www.rottentomatoes.com/m/accidentally_engaged","N/A","N/A","N/A","N/A","True"
"4831","Sex & Crime","2016","N/A","24 Mar 2016","82 min","Comedy, Thriller","Paul Florian Müller","Paul Florian Müller","Wotan Wilke Möhring, Fabian Busch, Claudia Eisinger, Pheline Roggan","Valentin (Wotan Wilke Möhring) recieves an alarming call from his best friend Theo (Fabian Busch), whom he gave the keys to his new and much too expensive house, to spend a night with the ...","German","Germany","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYWJkNThlODctNDk4Ni00NjgyLWI5ZGItMWI2MTE5MzgyOTk2XkEyXkFqcGdeQXVyMjY0Nzc5Mzk@._V1_SX300.jpg","N/A","7.0","68","tt4365370","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4832","Junction 6","2016","N/A","01 Jun 2016","N/A","Drama","Matthew Simmonds","Matthew Simmonds","Laurence Saunders, Shelley Draper, David Claridge","N/A","English","UK","N/A","N/A","N/A","N/A","N/A","tt5609622","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4833","Within the Dark","2015","N/A","N/A","99 min","Sci-Fi, Thriller","Drew Gabreski","Gerald Nott, Gerald Nott","Brian Krause, Kevin Grevioux, Louis Herthum, Jaimi Paige","Not long after John Chambers and his family arrive at their new home in a small country town of Pennsylvania, John begins to experience sleep paralysis. Lying there paralyzed, trapped ...","English","USA","N/A","N/A","N/A","N/A","N/A","tt3311020","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4834","The Last Human to Mars","2016","N/A","N/A","N/A","Action","Mike Z","Mike Z","N/A","This film is about a girl dream about starting a civilization on mars since her childhood. Through a mystical alien artifact, her dream come true, on her way to mars, she witness the earth ...","N/A","China","N/A","http://ia.media-imdb.com/images/M/MV5BYjUzOGJiOWMtMDYyZi00MGMyLTk4NDItZDI1OGIwMWJhMDExXkEyXkFqcGdeQXVyNjYzNTAyOTc@._V1_SX300.jpg","N/A","N/A","N/A","tt5735458","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4835","The Takeover","2016","N/A","N/A","N/A","Action, Sci-Fi","Trent Harris","Trent Harris (screenplay), Trent Harris, Cameron Wingo","Jennifer Graff, Travis Shoaf, Lizzy Vincent, Jeremy Carr","The Takeover follows the struggle of Maya, a stubborn defiant vampire, in a volatile battle between her own kind, Humans and davvers.","English","USA","N/A","N/A","N/A","N/A","N/A","tt3370138","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4836","Avant-Macabre","2016","N/A","13 May 2016","N/A","Horror","John H. Shelton","Gary Baxter (poem), John H. Shelton, Andrea Dean Van Scoyoc (poems)","John H. Shelton, Andrea Dean Van Scoyoc, Steven Chamberlain","N/A","English","N/A","N/A","http://ia.media-imdb.com/images/M/MV5BZTMwM2RjMDMtOWEwNS00NDAxLThjYTQtMGE1Mjg0MTg0OTlhXkEyXkFqcGdeQXVyNDEzNjMzNjk@._V1_SX300.jpg","N/A","N/A","N/A","tt5514564","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4837","In the Wake of a Second Cook","2016","N/A","01 Jun 2016","70 min","Drama","Rolf Belgum","Rolf Belgum, Thomas Lemmer","Nola Belgum, Justin Maki, Julia Palokangas, Dario Tangelson","As a tanker is caught in a storm and capsizing; a second-cook on board receives a voice mail from his wife that he is father to a baby girl. The cook retreats to a small storage closet ...","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMDM2NDY2MDEtNjA5ZS00OGRiLTlkYjktMzRjOWI0YzIxNWEzXkEyXkFqcGdeQXVyNjcyODcyOTY@._V1_SX300.jpg","N/A","N/A","N/A","tt5737930","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4838","Pandemic","2016","N/A","01 Apr 2016","91 min","Action, Horror, Sci-Fi","John Suits","Dustin T. Benson","Rachel Nichols, Alfie Allen, Missi Pyle, Mekhi Phifer","Pandemic is set in the near future, where a virus of epic proportions has overtaken the planet. There are more infected than uninfected, and humanity is losing its grip on survival. Its ...","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0OTk0ODA4MV5BMl5BanBnXkFtZTgwMjM1MzA5NzE@._V1_SX300.jpg","N/A","4.5","5,495","tt3774802","movie","46","rotten","4.7","13","6","7","N/A","77","3.5","1054","http://www.rottentomatoes.com/m/771436221/","N/A","N/A","Xlrator Media","N/A","True"
"4839","Tupang ligaw","2016","N/A","17 Feb 2016","75 min","Action","Rod Santiago","Rod Santiago","Matteo Guidicelli, Ara Mina, Paolo Contis, Rico Barrera","A young man ventures into dangerous, hostile territory to look for his younger brother.","Filipino, Tagalog","Philippines","N/A","N/A","N/A","N/A","N/A","tt5473344","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4841","Creators: The Past","2016","N/A","N/A","N/A","Fantasy","Piergiuseppe Zaia","Eleonora Fani, Piergiuseppe Zaia","Gérard Depardieu, Bruce Payne, William Shatner, Eleonora Fani","N/A","English","Italy","N/A","http://ia.media-imdb.com/images/M/MV5BMjE4ODIyNzU3N15BMl5BanBnXkFtZTgwMTk3NjI1MzE@._V1_SX300.jpg","N/A","N/A","N/A","tt4124980","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4842","Autumn Memories","2016","N/A","15 Sep 2016","95 min","Drama","Ali Fakhr Mousavi","Ali Fakhr Mousavi, Kateryna Turchanikova, Viktor Vilhelm","Nazanin Ahmady Sshahpour Abady, Aleksandr Ignatusha, Galyna Karpin, Oleksa Kravchuk","Ukrainian sculptor who is taking wife's death hard acquires the hope to begin a new life after appearance of Iraqi refugee. He desires to fall in love not taking into consideration the rival of young soldier.","Ukrainian, Persian","Iran, Ukraine, Czech Republic","N/A","N/A","N/A","N/A","N/A","tt5819870","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4843","Esclave et courtisane","2016","N/A","11 Feb 2016","N/A","Drama","Christian Lara","Christian Lara","Mi Kwan Lock, Anastasia Varda, Xavier Letourneur, Sidiki Bakaba","A small group of people meet in a guest house lost in the middle of nowhere. Disconnected from everything, each will try to understand his destiny. Trapped by the past, they each have to ...","French","Côte d'Ivoire","N/A","http://ia.media-imdb.com/images/M/MV5BMDU4YTVkNDctMjgzNi00ODhmLThmNDAtODM0ZDQ0MzY0NDlhXkEyXkFqcGdeQXVyNDA1NzY3OQ@@._V1_SX300.jpg","N/A","N/A","N/A","tt3158188","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4844","Boar","2016","N/A","01 Jul 2016","N/A","Horror","Chris Sun","Kristy Dallas, Chris Sun","Nathan Jones, John Jarratt, Christie-Lee Britten, Melissa Tkautz","A group of teenagers find themselves in a wood with a bloody pig.","English","Australia","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MDA3OTEzM15BMl5BanBnXkFtZTgwMzUxMDYxNDE@._V1_SX300.jpg","N/A","N/A","N/A","tt4158594","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4845","Assassination Classroom: The Graduation","2016","M","25 Mar 2016","118 min","Action, Adventure, Comedy","Eiichirô Hasumi","Yûsei Matsui (manga), Tatsuya Kanazawa (screenplay)","Kazunari Ninomiya, Mirei Kiritani, Ryôsuke Yamada, Kanna Hashimoto","The story of the assassination classroom and their teacher target continues with the students' own conflicts, Korosensei's identity, and the fate of the world as the deadline for assassination approaches.","Japanese","Japan","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BOWI2NWIwM2QtNTNiMC00YjNkLWJhYzktMjY5ZGJlNTA2MTdkXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg","N/A","5.8","221","tt4641264","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4846","Year by the Sea","2016","N/A","01 Apr 2016","120 min","Comedy, Drama, Romance","Alexander Janko","Joan Anderson (book), Alexander Janko (screenplay), Alexander Janko","Karen Allen, Celia Imrie, Yannick Bisson, Monique Gabriela Curnen","Hoping to reclaim who she was before marriage and children, an empty nester retreats to Cape Cod where she embarks upon a quest to set herself free.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BNzYxNDM3NjQwN15BMl5BanBnXkFtZTgwNzY3NzI1NjE@._V1_SX300.jpg","N/A","N/A","N/A","tt4068586","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56","http://www.rottentomatoes.com/m/year_by_the_sea","N/A","N/A","Real Women Make Waves","http://www.yearbythesea.com/","True"
"4847","Foe","2016","N/A","01 Feb 2016","N/A","Horror, Thriller","Antoni Solé","Antoni Solé (story), Antoni Solé","Mark Gantt, Nikol Kollars, Timothy Gibbs, Reg Wilson","This movie is talking about a man called Johan Meyer who is archaeologist, he have to translate old language from Babylonian civilization, but he have to do it in limited time and under threat of death from an unknown man.","English","Spain, USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NTAyMjc0N15BMl5BanBnXkFtZTgwMjg1MjEwODE@._V1_SX300.jpg","N/A","4.2","45","tt3161326","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4848","Dodgeball no Shinri 01","2016","N/A","23 Apr 2016","60 min","Comedy","Yôichirô Hayama","Yôichirô Hayama (original story), Yôichirô Hayama (screenplay)","Azusa Togashi, Saki Funaoka, Tomona Morioka, Yû Nobue","N/A","Japanese","Japan","N/A","N/A","N/A","N/A","N/A","tt5617576","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4849","Meadow Bridge","2016","N/A","N/A","N/A","Drama","Tijah Bumgarner","Tijah Bumgarner","Micah Gilkerson, Mahayla Fox, Olivia Perkins, Penny Mobley","Meadow Bridge is a coming-of-age story that follows Darcy, a fourteen-year-old girl growing up in a small West Virginia town in the late 1990s. It's a story about growing up on the edge of ...","English","USA","N/A","N/A","N/A","N/A","N/A","tt5208682","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4850","Hitler's Folly","2016","N/A","01 Jun 2016","67 min","Comedy","Bill Plympton","Bill Plympton","Dana Ashbrook, Eden S. Bales, Catherine Branscome, Lukas Chin","""Hitler's Folly"" explores what might have happened if Adolf Hitler's art career had been more successful and instead of becoming an evil dictator, he was inspired to become an animator like Walt Disney.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BNmJhMzg5NmEtZjQ1NC00MjQ5LWFiOTktZGJkMjcyN2NhZDg5XkEyXkFqcGdeQXVyMDk3NzU0OA@@._V1_SX300.jpg","N/A","4.5","17","tt5740242","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","http://www.rottentomatoes.com/m/hitlers_folly/","N/A","N/A","N/A","N/A","True"
"4851","Almost Paradise","2015","N/A","N/A","N/A","Drama","Bashar Shbib","Bashar Shbib","Catherine Enoe, Vera Enoe","Catherine (Catherine Enoe) is native to Grenada and works as a nurse caring for outpatients. She travels from patient to patient healing them and taking the pulse of contemporary Grenada.","English, Creoles and pidgins","Canada","N/A","N/A","N/A","N/A","N/A","tt2726134","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4852","The Return of Christ Bash Series Volume 13","2016","N/A","02 Jun 2016","125 min","Horror","Omer Pasha","Omer Pasha","Omer Pasha","N/A","English","Canada","N/A","N/A","N/A","N/A","N/A","tt5779588","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4853","Janitors","2015","N/A","01 Feb 2015","N/A","Comedy","Noel Buddy","Han Y. Seo, Jason S. Walker","Demetrius Dedmon, Patric Davalou, Chester 'Cheetah' Patterson, Yolanda Whittaker","Three struggling friends find a scandalous video that could finally lift them from working class stiffs. The star of the recoding is not going to lay down, his future political career ...","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTY0MjM0Mjg3Ml5BMl5BanBnXkFtZTgwNDc1MzM4MDE@._V1_SX300.jpg","N/A","N/A","N/A","tt2749796","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4854","Jonathan","2016","N/A","13 Oct 2016","99 min","Drama","Piotr J. Lewandowski","Piotr J. Lewandowski (screenplay)","Jannis Niewöhner, André Hennicke, Julia Koschitz, Thomas Sarbacher","N/A","German","Germany","N/A","http://ia.media-imdb.com/images/M/MV5BMGMxZmE5MWQtZjhkNC00NDJmLWJkODYtZGVkZGI1MjY2MzdiXkEyXkFqcGdeQXVyODYzNTgyMw@@._V1_SX300.jpg","N/A","4.5","58","tt5350358","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","http://www.rottentomatoes.com/m/771451928","N/A","N/A","Kordes & Kordes Film","N/A","True"
"4855","Abnormal Attraction","2016","N/A","N/A","N/A","Adventure, Comedy, Fantasy","Michael Leavy","Steven Della Salla, Jason Leavy, Michael Leavy","Malcolm McDowell, Ron Jeremy, Tyler Mane, Bruce Davison","In a world where mythical creatures are real, monsters and humans are forced to coexist; and as prejudice and insecurity pulls everyone apart, three separate storylines manage to come together.","English","N/A","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3MzgzMTgzNF5BMl5BanBnXkFtZTgwODk0Nzg5ODE@._V1_SX300.jpg","N/A","N/A","N/A","tt4470288","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4856","Canadian Glamour Musical","2016","N/A","25 May 2016","132 min","Mystery","Omer Pasha","Omer Pasha","N/A","N/A","English","Canada","N/A","http://ia.media-imdb.com/images/M/MV5BMTY5Mzg0ODQxNl5BMl5BanBnXkFtZTgwNTczMzcwOTE@._V1_SX300.jpg","N/A","N/A","N/A","tt5768302","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4857","Harmonium","2016","UNRATED","08 Oct 2016","118 min","Drama","Kôji Fukada","Kôji Fukada","Mariko Tsutsui, Tadanobu Asano, Kanji Furutachi, Kana Mahiro","Toshio hires Yasaka in his workshop. This old acquaintance, who has just been released from prison, begins to meddle in Toshio's family life.","Japanese","Japan, France","1 win & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM0YmVhZDgtMWMxMi00ZmNhLThjYzAtYWViNDMwOTViYTJiXkEyXkFqcGdeQXVyNDMyNzE5MTk@._V1_SX300.jpg","N/A","6.8","132","tt5182856","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4858","Fan","2016","UNRATED","15 Apr 2016","142 min","Action, Drama, Thriller","Maneesh Sharma","Maneesh Sharma (story), Habib Faisal (screenplay), Habib Faisal (dialogue), Sharat Katariya (dialogue)","Shah Rukh Khan, Sayani Gupta, Raj Awasti, Paul Blackwell","Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession?","Hindi","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BOTMzMjkwNTI0Nl5BMl5BanBnXkFtZTgwODIxMzQ1ODE@._V1_SX300.jpg","N/A","7.4","31,065","tt3495026","movie","83","fresh","6.6","12","10","2","N/A","78","4.0","1543","http://www.rottentomatoes.com/m/fan_2016/","N/A","$2,515,116.00","Yash Raj Films","N/A","True"
"4859","Gold Digger","2016","N/A","25 Mar 2016","88 min","Comedy","Ville Jankeri","Pekko Pesonen","Pamela Tola, Minka Kuustonen, Emmi Parviainen, Mikko Kouki","Marja is a blogger. Olavi is one of the richest men in the country. She might be able to save her blog if she dates him, but what if she falls for him for real?","Finnish","Finland","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BZjc4ZjQ0ZDUtMDRiZC00M2JmLThmMjUtYzRkOTA5OTJhODcwXkEyXkFqcGdeQXVyNjQ5ODA5NQ@@._V1_SX300.jpg","N/A","5.6","142","tt4636252","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3","http://www.rottentomatoes.com/m/onnenonkija/","N/A","N/A","Helsinki Filmi Oy","N/A","True"
"4860","Rum Runners","2015","N/A","N/A","N/A","Drama","William Nelson","Bill Nelson","Yves Bright, Brian Stuart Boyd, Crystal Bell, Vernon Wells","N/A","English","USA","N/A","N/A","N/A","N/A","N/A","tt3853696","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4861","Fight to the Finish","2016","PG-13","02 Feb 2016","94 min","Action, Romance, Sport","Warren Sheppard","Warren Sheppard","Jennifer Hale, Tonya Kay, Anna Ross, Caleb Smith","A young amateur fighter makes an enemy with a hardened thug when he gets in-between his next-door neighbor and her abusive ex- boyfriend. As his personal life becomes threatened, he ...","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2ODcyNzAyNzleQTJeQWpwZ15BbWU4MDk4Mjc2ODcx._V1_SX300.jpg","N/A","4.0","64","tt3152288","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17","2.1","6","http://www.rottentomatoes.com/m/fight_to_the_finish_2016/","N/A","N/A","LionsGate Entertainment","N/A","True"
